Word,Category
shoot,Germanic
grew,Germanic
stretch,Germanic
pound,Germanic
despite,French
response,French
center,Germanic
curl,Germanic
slight,Germanic
toss,Germanic
beneath,Germanic
fist,Germanic
welcome,Germanic
laughter,Germanic
angel,Germanic
Christmas,Germanic
we'd,Germanic
main,Germanic
simple,French
neither,Germanic
distance,French
comfort,Latin
upset,Germanic
assume,Latin
eight,Germanic
gather,Germanic
lucky,Germanic
fade,Latin
Ms.,Uncategorized
coat,Germanic
special,French
awkward,Norse
certain,Latin
plate,Latin
darkness,Germanic
practice,Latin
obvious,Latin
grade,French
cream,French
choice,Germanic
hardly,Germanic
pale,French
thin,Germanic
button,Germanic
chocolate,Mayan
refuse,French
slid,Germanic
pillow,Germanic
thirty,Germanic
count,French
honestly,Germanic
poor,French
motion,French
storm,Germanic
lightly,Germanic
nobody,Germanic
experience,French
path,Germanic
period,French
dare,Germanic
demand,French
comfortable,French
clearly,Germanic
silver,Germanic
peer,Germanic
birthday,Germanic
disgust,French
embarrass,French
bought,Germanic
test,French
lap,Germanic
bet,French
loudly,Germanic
driver,Germanic
murmur,French
taste,Latin
perfectly,Latin
squeeze,Germanic
board,Germanic
worth,Germanic
fold,Germanic
spread,Germanic
crap,French
emotion,French
subject,Latin
pour,French
laid,Germanic
lower,Germanic
mile,Germanic
yea,Germanic
page,French
pile,French
snow,Germanic
message,Latin
English,Germanic
scene,French
sink,Germanic
fail,Latin
forgot,Germanic
hole,Germanic
silently,Latin
heat,Germanic
weekend,Germanic
drew,Germanic
guitar,Spanish
sweat,Germanic
unless,Germanic
cloud,Germanic
waist,Germanic
slap,Germanic
argue,French
grass,Germanic
idiot,French
screen,Germanic
yesterday,Germanic
swear,Germanic
twin,Germanic
instantly,Latin
apart,French
narrow,Germanic
opposite,French
blow,Germanic
wrist,Germanic
earth,Germanic
action,French
circle,French
forgotten,Germanic
list,Germanic
closet,French
drunk,Germanic
shape,Germanic
yellow,Germanic
twist,Germanic
weight,Germanic
smart,Germanic
it'll,Germanic
treat,French
pool,Germanic
prepare,French
awake,Germanic
certainly,Germanic
tease,Germanic
contact,Latin
slide,Germanic
wonderful,Germanic
bitch,Germanic
reveal,French
swing,Germanic
truck,Germanic
anywhere,Germanic
flower,French
upstairs,Germanic
hers,Germanic
itself,Germanic
wander,Germanic
downstairs,Germanic
football,Germanic
possibly,Latin
rip,Germanic
forest,Germanic
mostly,Germanic
bloody,Germanic
church,Germanic
gay,French
stone,Germanic
husband,Germanic
sex,French
trick,Latin
yours,Germanic
growl,Germanic
club,Germanic
Friday,Germanic
stage,French
include,Latin
sip,Germanic
invite,French
sharp,Germanic
convince,Latin
sheet,Germanic
absolutely,Germanic
orange,French
relief,French
apologize,Greek
art,Germanic
he'll,Germanic
remove,French
crash,Unknown
van,Latin
curse,Germanic
alive,Germanic
blanket,Germanic
receive,French
tip,Germanic
rise,Germanic
tightly,Germanic
waste,Germanic
bowl,Germanic
fallen,Germanic
river,Latin
mama,Germanic
pace,French
honey,Germanic
swallow,Germanic
king,Germanic
camera,Latin
deserve,French
dirty,Germanic
chin,Germanic
doorway,Germanic
image,French
cookie,Dutch
homework,Germanic
hat,Germanic
luck,Germanic
aside,Germanic
information,French
fifteen,Germanic
fair,Germanic
player,Germanic
monster,French
gate,Germanic
win,Germanic
below,Germanic
ceiling,French
click,Germanic
cook,Germanic
travel,French
fish,Germanic
lit,Germanic
nervously,Latin
towel,Germanic
shiver,Germanic
final,French
horrible,French
station,French
camp,Germanic
hungry,Germanic
thousand,Germanic
evil,Germanic
rich,Germanic
war,Germanic
involve,French
jaw,French
uncomfortable,Latin
directly,Latin
level,French
double,French
nine,Germanic
creature,French
glow,Germanic
somewhat,Germanic
blame,French
entrance,French
hip,Germanic
fresh,Germanic
hiss,Germanic
normally,Latin
tap,Germanic
machine,Latin
ruin,French
bear,Germanic
rule,French
till,Germanic
cock,Germanic
stumble,Germanic
complain,Latin
everybody,Germanic
truly,Germanic
nurse,Latin
speed,Germanic
hmm,Imitative
panic,French
smooth,Germanic
weak,Germanic
good-bye,Germanic
would've,Germanic
extra,Latin
gesture,Latin
scowl,Germanic
beer,Germanic
release,French
country,Latin
officer,French
careful,Germanic
create,Latin
hill,Germanic
snort,Germanic
flew,Germanic
heel,Germanic
brow,Germanic
charge,Latin
flat,Germanic
plus,Latin
switch,Dutch
whenever,Germanic
drift,Germanic
metal,French
discover,Latin
wheel,Germanic
skirt,Germanic
pat,Germanic
ate,Germanic
tea,Dutch
hotel,French
sob,Germanic
future,French
record,French
boot,Germanic
likely,Germanic
cheer,French
gold,Germanic
prove,Germanic
ha,Imitative
twice,Germanic
aware,Germanic
lack,Germanic
princess,French
bench,Germanic
cousin,French
detail,French
amount,French
bird,Germanic
backward,Germanic
crush,Germanic
cigarette,French
faint,French
belong,Germanic
stranger,French
beach,Germanic
load,Germanic
everywhere,Germanic
scratch,Germanic
history,French
restaurant,French
event,French
extremely,Latin
widen,Germanic
clutch,Germanic
due,French
tug,Germanic
beyond,Germanic
happily,Germanic
mistake,Germanic
palm,Germanic
amuse,Germanic
guest,Germanic
Saturday,Germanic
wooden,Germanic
worst,Germanic
exit,Latin
plastic,Greek
reality,French
wince,Germanic
announce,French
gotta,Germanic
slept,Germanic
she'll,Germanic
member,French
choose,Germanic
Dr.,Latin
swim,Germanic
alarm,French
crawl,Germanic
dollar,Dutch
knife,Germanic
magic,Latin
paid,Germanic
pizza,Greek
purse,Germanic
gift,Germanic
chicken,Germanic
plane,French
choke,Germanic
screw,Germanic
protest,French
base,Latin
drug,Germanic
introduce,French
sleeve,Germanic
movement,Latin
loose,Germanic
bare,Germanic
wanna,Germanic
difficult,French
frame,Germanic
spin,Germanic
fake,Germanic
pen,Germanic
understood,Germanic
nor,Germanic
unfortunately,Latin
written,Germanic
decision,French
beg,Germanic
heavily,Germanic
insist,French
soul,Germanic
random,Germanic
sport,Germanic
male,Italian
urge,Latin
million,French
yawn,Germanic
backpack,Germanic
judge,French
startle,Germanic
bunch,Germanic
stream,Germanic
they'll,Germanic
muscle,French
yard,Germanic
accident,French
dragon,Germanic
sentence,French
fool,French
torn,Germanic
bow,Germanic
echo,Latin
mix,Germanic
bury,Germanic
system,French
dirt,Germanic
spirit,French
leaf,Germanic
protect,Latin
row,Germanic
forth,Germanic
purple,Latin
bang,Germanic
curious,French
nearby,Germanic
nowhere,Germanic
collapse,Latin
hop,Germanic
proud,Germanic
wing,Germanic
destroy,Latin
sea,Germanic
separate,Latin
silly,Germanic
wound,Germanic
honest,Germanic
battle,Germanic
born,Germanic
cough,Germanic
mountain,Latin
split,Germanic
square,Latin
underneath,Germanic
bike,Germanic
process,French
somebody,Germanic
classroom,Germanic
presence,French
whose,Germanic
grown,Germanic
hidden,Germanic
serve,Latin
female,Latin
garden,Germanic
meal,Germanic
unable,Germanic
elbow,Germanic
support,French
bridge,Germanic
reaction,French
skip,Germanic
wild,Germanic
angrily,Germanic
effect,Latin
threaten,Germanic
basically,Greek
smack,Germanic
stroke,Germanic
flow,Germanic
moan,Germanic
plant,Germanic
impossible,Germanic
bruise,Germanic
disappoint,French
energy,French
relieve,French
confusion,French
wedding,Germanic
fat,Germanic
bill,Germanic
dude,Germanic
address,Latin
cast,Germanic
naked,Germanic
toy,Germanic
math,Germanic
personal,French
ship,Germanic
spun,Germanic
chat,French
pray,French
whip,Germanic
grasp,Germanic
hasn't,Germanic
float,Germanic
fully,Germanic
gorgeous,French
indeed,Germanic
nail,Germanic
vision,French
innocent,French
friendly,Germanic
jealous,French
swung,Germanic
flame,French
dorm,Latin
driveway,Germanic
spill,Germanic
gang,Germanic
murder,Germanic
respect,French
bent,Germanic
tail,Germanic
inform,French
lesson,French
whine,Germanic
clench,Germanic
excitement,French
library,French
lord,Germanic
surface,French
dust,Germanic
dump,Germanic
feature,French
object,French
weapon,Germanic
calmly,Latin
hesitate,Latin
hint,Germanic
law,Germanic
magazine,Arabic
among,Germanic
boss,Dutch
file,Germanic
leather,Germanic
result,Latin
thrown,Germanic
toe,Germanic
terrible,French
local,Latin
project,Latin
won,Germanic
radio,Latin
regret,Germanic
grumble,French
otherwise,Germanic
ridiculous,Latin
CD,Uncategorized
lovely,Germanic
mock,Germanic
effort,French
fan,Latin
nerve,Latin
report,French
stall,Germanic
elevator,Latin
mate,Germanic
bastard,Germanic
grunt,Germanic
o'clock,Germanic
rope,Germanic
entirely,Germanic
frighten,Germanic
shade,Germanic
strength,Germanic
bone,Germanic
exchange,Latin
flight,Germanic
Monday,Germanic
partner,French
plain,French
shine,Germanic
cafeteria,French
beam,Germanic
exist,French
porch,French
queen,Germanic
squeal,Germanic
faith,French
pierce,French
remark,French
content,Latin
ease,Germanic
flick,Germanic
mall,Latin
cannot,Germanic
carpet,Latin
length,Germanic
replace,Latin
duck,Germanic
bump,Germanic
common,French
style,Latin
tan,Celtic
cake,Germanic
court,French
previous,Latin
balance,Latin
bank,Italian
blind,Germanic
dangerous,French
particular,French
sell,Germanic
wrote,Germanic
distract,Latin
melt,Germanic
popular,French
social,French
teach,Germanic
appearance,French
correct,French
lake,Germanic
public,French
sarcastically,Greek
guilty,Germanic
kinda,Germanic
shall,Germanic
television,French
boat,Germanic
firmly,Germanic
tent,French
thumb,Germanic
manner,French
flush,French
roof,Germanic
schedule,Latin
dine,Latin
weather,Germanic
casually,Germanic
moon,Germanic
difference,French
butt,Germanic
charm,Germanic
feed,Germanic
frustration,Latin
gentle,French
hook,Germanic
bounce,Germanic
particularly,Latin
pleasure,French
sneak,Germanic
leader,Germanic
rage,French
shriek,Germanic
suffer,French
Sunday,Germanic
argument,Latin
pregnant,French
discuss,French
statement,Germanic
ticket,Germanic
dig,Germanic
doll,Germanic
chill,Germanic
fence,French
horror,French
built,Germanic
cop,Germanic
security,French
sidewalk,Germanic
breast,Germanic
curtain,French
whom,Germanic
fifty,Germanic
giant,Latin
milk,Germanic
recall,Latin
term,French
footstep,Germanic
stun,Germanic
tuck,Germanic
clothing,Germanic
lick,Germanic
joy,Latin
ugly,Germanic
hopefully,Germanic
soldier,Latin
plead,Latin
struck,Germanic
trap,Germanic
opinion,French
plenty,French
tank,Portuguese
breeze,Germanic
awesome,Germanic
desire,French
roommate,Germanic
halfway,Germanic
opportunity,French
outfit,Germanic
rough,Germanic
ain't,Germanic
beauty,French
chose,French
snake,Germanic
tape,Germanic
badly,Germanic
cheat,Latin
daddy,Germanic
roar,Germanic
describe,French
desperately,Latin
height,Germanic
thigh,Germanic
tilt,Germanic
deeply,Germanic
friendship,Germanic
winter,Germanic
witch,Germanic
worn,Germanic
condition,French
enemy,French
golden,Germanic
sofa,French
master,Latin
rude,French
throughout,Germanic
assure,French
damage,Latin
natural,French
steal,Germanic
belt,Germanic
cage,French
claim,French
nightmare,Germanic
prefer,French
purpose,French
merely,Germanic
pin,Germanic
French,Germanic
sadly,Germanic
uniform,French
branch,Celtic
direct,Latin
hunter,Germanic
juice,French
character,French
pure,French
stain,Germanic
various,French
gain,Germanic
soak,Germanic
lately,Germanic
pitch,Germanic
accent,French
they've,Germanic
tremble,Latin
cabin,French
chew,Germanic
physical,Latin
puzzle,Germanic
explode,Latin
steady,Germanic
how's,Germanic
pet,Scots
sake,Germanic
compare,French
principal,French
scan,Latin
forty,Germanic
impress,Latin
mentally,Latin
react,Latin
sandwich,Germanic
shy,Germanic
twelve,Germanic
whilst,Germanic
bullet,French
challenge,French
command,Latin
examine,French
film,Germanic
appreciate,Latin
tense,French
blank,Germanic
blew,Germanic
fought,Germanic
gym,Latin
passenger,French
teenager,Germanic
dish,Germanic
drawn,Germanic
scary,Germanic
unlike,Germanic
straighten,Germanic
strain,Germanic
tune,French
constantly,Latin
famous,French
marriage,French
bound,Latin
fancy,Latin
issue,French
warmth,Germanic
awhile,Germanic
collect,Latin
concentrate,French
copy,Latin
disbelief,French
tighten,Germanic
determine,French
favor,French
mental,Latin
bush,Germanic
forgive,Germanic
aim,French
embrace,French
fairly,Germanic
froze,Germanic
insult,Latin
option,French
post,French
resist,French
spoken,Germanic
apple,Germanic
general,French
instant,French
jeep,Uncategorized
emerge,French
neighbor,Germanic
pressure,Latin
service,Latin
shuffle,Germanic
briefly,Germanic
notebook,Germanic
peace,French
string,Germanic
wine,Germanic
dash,Germanic
gut,Germanic
stress,Latin
connect,Latin
language,Latin
private,Latin
spring,Germanic
chip,Germanic
puppy,French
ache,Germanic
desperate,Latin
habit,French
necessary,French
nope,Germanic
pencil,French
satisfy,French
deny,French
mommy,Germanic
attitude,Latin
dial,French
painful,Germanic
display,French
frustrate,Latin
it'd,Germanic
tend,Germanic
exact,Latin
powerful,Germanic
nature,French
photo,Greek
total,French
video,Italian
egg,Germanic
occur,French
anybody,Germanic
corridor,French
gulp,Germanic
trace,Latin
whoever,Germanic
brief,French
exhaust,Latin
pout,Germanic
terrify,French
chapter,French
insane,Latin
spell,Germanic
surely,Germanic
tray,Germanic
alcohol,Arabic
chain,French
fashion,French
garage,French
inquire,Italian
candy,Arabic
similar,Latin
bark,Germanic
flirt,Germanic
pathetic,French
supply,French
tower,Germanic
engine,French
frozen,Germanic
map,Latin
toilet,French
background,Germanic
shudder,Germanic
spider,Germanic
adult,French
cheap,Germanic
clue,Germanic
hazel,Germanic
irritate,Latin
sand,Germanic
quarter,French
spare,Germanic
American,Germanic
rid,Germanic
spat,Latin
pot,Germanic
awful,Germanic
bleed,Germanic
fate,Latin
jog,Germanic
strike,Germanic
grimace,French
holiday,Germanic
whistle,Germanic
agreement,French
dull,Germanic
expensive,Latin
snatch,Germanic
sometime,Germanic
ability,French
campus,Latin
collar,Latin
disturb,French
flicker,Germanic
proceed,French
recently,Latin
risk,Persian
skill,Germanic
topic,Latin
defense,Latin
fry,Germanic
luckily,Germanic
retort,French
captain,Latin
eaten,Germanic
glove,Germanic
mid,Germanic
owner,Germanic
cheese,Germanic
yank,Scots
afterward,Germanic
closely,Germanic
coach,Hungarian
feather,Germanic
handsome,Germanic
New York,Uncategorized
pity,French
signal,Latin
sniff,Germanic
strap,Germanic
contain,French
survive,French
sweater,Germanic
west,Germanic
drawer,Germanic
leap,Germanic
major,Latin
peek,Germanic
suspect,French
tour,French
freeze,Germanic
heaven,Germanic
mask,Germanic
surprisingly,French
abruptly,Latin
begun,Germanic
customer,French
pad,Germanic
design,French
flop,Imitative
pride,Germanic
yep,Germanic
interview,French
makeup,Germanic
blast,Germanic
prince,French
rode,Germanic
bubble,Germanic
rent,Latin
teen,Germanic

